Ngày,Mô tả,Số tiền,Danh mục,Ví,Loại giao dịch
11/06/2026,Đi karaoke,548401,Giải trí,Tiền mặt,Chi tiêu
10/06/2026,Xôi sáng,45447,Ăn uống,Tiền mặt,Chi tiêu
10/06/2026,Cà phê sữa,69608,Ăn uống,Tiền mặt,Chi tiêu
10/06/2026,Cháo sườn,71346,Ăn uống,Tiền mặt,Chi tiêu
09/06/2026,Siêu thị BigC,555255,Tạp hóa,Tiền mặt,Chi tiêu
09/06/2026,Bánh mì,80337,Ăn uống,Tiền mặt,Chi tiêu
08/06/2026,Cơm tấm,71387,Ăn uống,Tiền mặt,Chi tiêu
08/06/2026,Cơm tấm,105505,Ăn uống,Tiền mặt,Chi tiêu
08/06/2026,Vé xe buýt,38885,Di chuyển,Tiền mặt,Chi tiêu
08/06/2026,Xôi sáng,33049,Ăn uống,Tiền mặt,Chi tiêu
07/06/2026,Grab ô tô,76253,Di chuyển,Tiền mặt,Chi tiêu
07/06/2026,Bún riêu,35335,Ăn uống,Tiền mặt,Chi tiêu
07/06/2026,Cà phê sữa,75390,Ăn uống,Tiền mặt,Chi tiêu
06/06/2026,Bột chiên,43936,Ăn uống,Tiền mặt,Chi tiêu
06/06/2026,Bún bò Huế,41109,Ăn uống,Tiền mặt,Chi tiêu
06/06/2026,Bún riêu,24701,Ăn uống,Tiền mặt,Chi tiêu
05/06/2026,Bún chả,61887,Ăn uống,Tiền mặt,Chi tiêu
05/06/2026,Nhận lương tháng 6,18998641,Lương,Tiền mặt,Thu nhập
05/06/2026,Mua vitamin,376543,Sức khỏe,Tiền mặt,Chi tiêu
05/06/2026,Cà phê sáng,39426,Ăn uống,Tiền mặt,Chi tiêu
04/06/2026,Gửi xe máy,77274,Di chuyển,Tiền mặt,Chi tiêu
04/06/2026,Coopmart,231514,Tạp hóa,Tiền mặt,Chi tiêu
04/06/2026,Cơm văn phòng,90489,Ăn uống,Tiền mặt,Chi tiêu
04/06/2026,Bột chiên,67251,Ăn uống,Tiền mặt,Chi tiêu
04/06/2026,Cà phê sáng,49546,Ăn uống,Tiền mặt,Chi tiêu
03/06/2026,Cà phê sáng,35732,Ăn uống,Tiền mặt,Chi tiêu
03/06/2026,Cơm gà,63702,Ăn uống,Tiền mặt,Chi tiêu
02/06/2026,Làm nail,239729,Làm đẹp,Tiền mặt,Chi tiêu
02/06/2026,Bún bò Huế,35955,Ăn uống,Tiền mặt,Chi tiêu
02/06/2026,Bánh mì,48013,Ăn uống,Tiền mặt,Chi tiêu
02/06/2026,Internet cáp quang,235610,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
02/06/2026,Tiền nước sinh hoạt,68544,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
02/06/2026,Vé sự kiện,329444,Giải trí,Tiền mặt,Chi tiêu
02/06/2026,Tiền nước sinh hoạt,297701,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
02/06/2026,Tiền nhà tháng 6,3005505,Nhà cửa,Tiền mặt,Chi tiêu
01/06/2026,Cà phê sáng,28897,Ăn uống,Tiền mặt,Chi tiêu
01/06/2026,Điện thoại di động,193173,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
01/06/2026,Bột chiên,78023,Ăn uống,Tiền mặt,Chi tiêu
01/06/2026,Grab ô tô,30570,Di chuyển,Tiền mặt,Chi tiêu
01/06/2026,Bánh mì,41050,Ăn uống,Tiền mặt,Chi tiêu
31/05/2026,Cơm tấm,106673,Ăn uống,Tiền mặt,Chi tiêu
31/05/2026,Bún riêu,29550,Ăn uống,Tiền mặt,Chi tiêu
31/05/2026,Bún bò Huế,52779,Ăn uống,Tiền mặt,Chi tiêu
30/05/2026,Bánh mì,43660,Ăn uống,Tiền mặt,Chi tiêu
30/05/2026,Grab ô tô,39353,Di chuyển,Tiền mặt,Chi tiêu
29/05/2026,Bánh mì,34403,Ăn uống,Tiền mặt,Chi tiêu
29/05/2026,Cơm văn phòng,106879,Ăn uống,Tiền mặt,Chi tiêu
29/05/2026,Bột chiên,57929,Ăn uống,Tiền mặt,Chi tiêu
28/05/2026,Cà phê sữa,57177,Ăn uống,Tiền mặt,Chi tiêu
28/05/2026,Phở bò,61785,Ăn uống,Tiền mặt,Chi tiêu
28/05/2026,Bánh mì,30095,Ăn uống,Tiền mặt,Chi tiêu
27/05/2026,Gửi xe máy,51954,Di chuyển,Tiền mặt,Chi tiêu
27/05/2026,Cháo sườn,48846,Ăn uống,Tiền mặt,Chi tiêu
27/05/2026,Bột chiên,78638,Ăn uống,Tiền mặt,Chi tiêu
27/05/2026,Bánh mì,26482,Ăn uống,Tiền mặt,Chi tiêu
26/05/2026,Bột chiên,80159,Ăn uống,Tiền mặt,Chi tiêu
26/05/2026,WinMart,283015,Tạp hóa,Tiền mặt,Chi tiêu
26/05/2026,Cà phê cùng bạn,242981,Giải trí,Tiền mặt,Chi tiêu
26/05/2026,Bún bò Huế,73140,Ăn uống,Tiền mặt,Chi tiêu
26/05/2026,Cà phê sáng,45366,Ăn uống,Tiền mặt,Chi tiêu
25/05/2026,Bún chả,80355,Ăn uống,Tiền mặt,Chi tiêu
25/05/2026,Đổ xăng xe,52852,Di chuyển,Tiền mặt,Chi tiêu
25/05/2026,Bún bò Huế,99285,Ăn uống,Tiền mặt,Chi tiêu
24/05/2026,Bánh mì,69338,Ăn uống,Tiền mặt,Chi tiêu
24/05/2026,Bún riêu,47179,Ăn uống,Tiền mặt,Chi tiêu
23/05/2026,Mua quần,633256,Mua sắm,Tiền mặt,Chi tiêu
23/05/2026,Vé xe buýt,32187,Di chuyển,Tiền mặt,Chi tiêu
23/05/2026,Bột chiên,76134,Ăn uống,Tiền mặt,Chi tiêu
23/05/2026,Hủ tiếu,76330,Ăn uống,Tiền mặt,Chi tiêu
23/05/2026,Bánh mì,47224,Ăn uống,Tiền mặt,Chi tiêu
22/05/2026,Hủ tiếu,106347,Ăn uống,Tiền mặt,Chi tiêu
22/05/2026,Đổ xăng xe máy,238035,Di chuyển,Tiền mặt,Chi tiêu
22/05/2026,Bún riêu,51433,Ăn uống,Tiền mặt,Chi tiêu
22/05/2026,Cháo sườn,71343,Ăn uống,Tiền mặt,Chi tiêu
21/05/2026,Xôi sáng,27279,Ăn uống,Tiền mặt,Chi tiêu
21/05/2026,Cơm văn phòng,58933,Ăn uống,Tiền mặt,Chi tiêu
20/05/2026,Chợ rau củ,431406,Tạp hóa,Tiền mặt,Chi tiêu
20/05/2026,Cà phê cùng bạn,332105,Giải trí,Tiền mặt,Chi tiêu
20/05/2026,Grab xe máy,28912,Di chuyển,Tiền mặt,Chi tiêu
20/05/2026,Xôi sáng,42272,Ăn uống,Tiền mặt,Chi tiêu
20/05/2026,Cơm tấm,58667,Ăn uống,Tiền mặt,Chi tiêu
20/05/2026,Mua quần,249923,Mua sắm,Tiền mặt,Chi tiêu
19/05/2026,Mua thuốc cảm,494859,Sức khỏe,Tiền mặt,Chi tiêu
19/05/2026,Bún bò Huế,76619,Ăn uống,Tiền mặt,Chi tiêu
19/05/2026,Cháo sườn,89789,Ăn uống,Tiền mặt,Chi tiêu
18/05/2026,Hủ tiếu,77670,Ăn uống,Tiền mặt,Chi tiêu
18/05/2026,Bún chả,45722,Ăn uống,Tiền mặt,Chi tiêu
18/05/2026,Đổ xăng xe,62485,Di chuyển,Tiền mặt,Chi tiêu
18/05/2026,Cà phê sáng,33475,Ăn uống,Tiền mặt,Chi tiêu
17/05/2026,Bánh mì,43268,Ăn uống,Tiền mặt,Chi tiêu
17/05/2026,Bột chiên,45392,Ăn uống,Tiền mặt,Chi tiêu
17/05/2026,Cơm văn phòng,79550,Ăn uống,Tiền mặt,Chi tiêu
16/05/2026,Đổ xăng xe,44091,Di chuyển,Tiền mặt,Chi tiêu
16/05/2026,Phở bò,79085,Ăn uống,Tiền mặt,Chi tiêu
16/05/2026,Cà phê sáng,45225,Ăn uống,Tiền mặt,Chi tiêu
15/05/2026,Cà phê sữa,71638,Ăn uống,Tiền mặt,Chi tiêu
15/05/2026,Cà phê sáng,46971,Ăn uống,Tiền mặt,Chi tiêu
14/05/2026,Cà phê sữa,47785,Ăn uống,Tiền mặt,Chi tiêu
14/05/2026,Đổ xăng xe,71407,Di chuyển,Tiền mặt,Chi tiêu
14/05/2026,Bún riêu,31486,Ăn uống,Tiền mặt,Chi tiêu
13/05/2026,Đổ xăng xe máy,156960,Di chuyển,Tiền mặt,Chi tiêu
13/05/2026,Cà phê sữa,76240,Ăn uống,Tiền mặt,Chi tiêu
13/05/2026,Cơm gà,86168,Ăn uống,Tiền mặt,Chi tiêu
12/05/2026,Cơm văn phòng,77038,Ăn uống,Tiền mặt,Chi tiêu
11/05/2026,Mua sách,676231,Mua sắm,Tiền mặt,Chi tiêu
11/05/2026,Bánh mì,21897,Ăn uống,Tiền mặt,Chi tiêu
11/05/2026,Cơm tấm,39853,Ăn uống,Tiền mặt,Chi tiêu
11/05/2026,WinMart,334061,Tạp hóa,Tiền mặt,Chi tiêu
11/05/2026,Đặt phòng du lịch,286351,Giải trí,Tiền mặt,Chi tiêu
11/05/2026,Grab ô tô,70218,Di chuyển,Tiền mặt,Chi tiêu
10/05/2026,Bún riêu,37921,Ăn uống,Tiền mặt,Chi tiêu
10/05/2026,Phở bò,45302,Ăn uống,Tiền mặt,Chi tiêu
10/05/2026,Cà phê sữa,62277,Ăn uống,Tiền mặt,Chi tiêu
09/05/2026,Cháo sườn,94958,Ăn uống,Tiền mặt,Chi tiêu
09/05/2026,Bánh mì,39029,Ăn uống,Tiền mặt,Chi tiêu
09/05/2026,Hủ tiếu,38399,Ăn uống,Tiền mặt,Chi tiêu
09/05/2026,Vé xe buýt,66433,Di chuyển,Tiền mặt,Chi tiêu
08/05/2026,Cháo sườn,69211,Ăn uống,Tiền mặt,Chi tiêu
08/05/2026,Hủ tiếu,78432,Ăn uống,Tiền mặt,Chi tiêu
07/05/2026,Cà phê sáng,44835,Ăn uống,Tiền mặt,Chi tiêu
07/05/2026,Cơm văn phòng,77265,Ăn uống,Tiền mặt,Chi tiêu
06/05/2026,Cháo sườn,50087,Ăn uống,Tiền mặt,Chi tiêu
06/05/2026,Cháo sườn,54838,Ăn uống,Tiền mặt,Chi tiêu
06/05/2026,Cà phê sáng,37552,Ăn uống,Tiền mặt,Chi tiêu
06/05/2026,Grab xe máy,35107,Di chuyển,Tiền mặt,Chi tiêu
05/05/2026,Bột chiên,60626,Ăn uống,Tiền mặt,Chi tiêu
05/05/2026,Nhận lương tháng 5,13119280,Lương,Tiền mặt,Thu nhập
05/05/2026,Cháo sườn,86949,Ăn uống,Tiền mặt,Chi tiêu
05/05/2026,Cà phê sáng,29071,Ăn uống,Tiền mặt,Chi tiêu
04/05/2026,Cháo sườn,106351,Ăn uống,Tiền mặt,Chi tiêu
04/05/2026,Hủ tiếu,53344,Ăn uống,Tiền mặt,Chi tiêu
04/05/2026,Điện thoại di động,419349,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
04/05/2026,Tiền nước sinh hoạt,124709,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
04/05/2026,Mua sách,754446,Mua sắm,Tiền mặt,Chi tiêu
04/05/2026,WinMart,476414,Tạp hóa,Tiền mặt,Chi tiêu
04/05/2026,Vé xe buýt,17613,Di chuyển,Tiền mặt,Chi tiêu
03/05/2026,Tiền nhà tháng 5,3673999,Nhà cửa,Tiền mặt,Chi tiêu
03/05/2026,Cà phê sáng,42753,Ăn uống,Tiền mặt,Chi tiêu
03/05/2026,Cơm gà,79909,Ăn uống,Tiền mặt,Chi tiêu
03/05/2026,Cà phê sữa,49873,Ăn uống,Tiền mặt,Chi tiêu
03/05/2026,Internet cáp quang,236620,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
02/05/2026,Bún riêu,34714,Ăn uống,Tiền mặt,Chi tiêu
02/05/2026,Cơm tấm,108563,Ăn uống,Tiền mặt,Chi tiêu
02/05/2026,Trà sữa,65937,Ăn uống,Tiền mặt,Chi tiêu
02/05/2026,Điện thoại di động,167162,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
01/05/2026,Bún chả,41327,Ăn uống,Tiền mặt,Chi tiêu
01/05/2026,Vé xe buýt,68623,Di chuyển,Tiền mặt,Chi tiêu
30/04/2026,Xôi sáng,41395,Ăn uống,Tiền mặt,Chi tiêu
30/04/2026,Mua quần,754919,Mua sắm,Tiền mặt,Chi tiêu
30/04/2026,Gửi xe máy,64396,Di chuyển,Tiền mặt,Chi tiêu
30/04/2026,Bún chả,76724,Ăn uống,Tiền mặt,Chi tiêu
30/04/2026,Cơm tấm,75964,Ăn uống,Tiền mặt,Chi tiêu
29/04/2026,Bánh mì,45384,Ăn uống,Tiền mặt,Chi tiêu
29/04/2026,Bún riêu,50204,Ăn uống,Tiền mặt,Chi tiêu
29/04/2026,Grab xe máy,45558,Di chuyển,Tiền mặt,Chi tiêu
28/04/2026,Bún chả,68967,Ăn uống,Tiền mặt,Chi tiêu
28/04/2026,Mua mỹ phẩm,313710,Làm đẹp,Tiền mặt,Chi tiêu
28/04/2026,Cà phê sữa,36464,Ăn uống,Tiền mặt,Chi tiêu
28/04/2026,Đi karaoke,477148,Giải trí,Tiền mặt,Chi tiêu
28/04/2026,Cà phê sáng,47115,Ăn uống,Tiền mặt,Chi tiêu
27/04/2026,Bột chiên,46515,Ăn uống,Tiền mặt,Chi tiêu
27/04/2026,Bánh mì,42142,Ăn uống,Tiền mặt,Chi tiêu
27/04/2026,Cơm tấm,45059,Ăn uống,Tiền mặt,Chi tiêu
26/04/2026,Cơm gà,42176,Ăn uống,Tiền mặt,Chi tiêu
26/04/2026,Bún riêu,37389,Ăn uống,Tiền mặt,Chi tiêu
26/04/2026,Trà sữa,80137,Ăn uống,Tiền mặt,Chi tiêu
26/04/2026,Taxi Vinasun,72098,Di chuyển,Tiền mặt,Chi tiêu
26/04/2026,WinMart,325249,Tạp hóa,Tiền mặt,Chi tiêu
25/04/2026,Cơm tấm,71446,Ăn uống,Tiền mặt,Chi tiêu
25/04/2026,Đổ xăng xe,36728,Di chuyển,Tiền mặt,Chi tiêu
25/04/2026,Bột chiên,69231,Ăn uống,Tiền mặt,Chi tiêu
24/04/2026,Bột chiên,79025,Ăn uống,Tiền mặt,Chi tiêu
24/04/2026,Bún bò Huế,62788,Ăn uống,Tiền mặt,Chi tiêu
23/04/2026,Phở bò,82012,Ăn uống,Tiền mặt,Chi tiêu
23/04/2026,Cà phê sáng,39584,Ăn uống,Tiền mặt,Chi tiêu
23/04/2026,Bánh mì,40692,Ăn uống,Tiền mặt,Chi tiêu
23/04/2026,Grab ô tô,65461,Di chuyển,Tiền mặt,Chi tiêu
23/04/2026,Đổ xăng xe máy,178533,Di chuyển,Tiền mặt,Chi tiêu
23/04/2026,Khám nha khoa,384983,Sức khỏe,Tiền mặt,Chi tiêu
23/04/2026,Cà phê cùng bạn,138566,Giải trí,Tiền mặt,Chi tiêu
22/04/2026,Bún chả,65063,Ăn uống,Tiền mặt,Chi tiêu
22/04/2026,Xôi sáng,34602,Ăn uống,Tiền mặt,Chi tiêu
21/04/2026,Bánh mì,80504,Ăn uống,Tiền mặt,Chi tiêu
21/04/2026,Cháo sườn,84765,Ăn uống,Tiền mặt,Chi tiêu
21/04/2026,Bún riêu,23870,Ăn uống,Tiền mặt,Chi tiêu
20/04/2026,Cơm tấm,75526,Ăn uống,Tiền mặt,Chi tiêu
20/04/2026,Xôi sáng,21140,Ăn uống,Tiền mặt,Chi tiêu
20/04/2026,Bún chả,51125,Ăn uống,Tiền mặt,Chi tiêu
20/04/2026,Siêu thị BigC,398759,Tạp hóa,Tiền mặt,Chi tiêu
20/04/2026,Grab ô tô,73946,Di chuyển,Tiền mặt,Chi tiêu
19/04/2026,Mua sách,325793,Mua sắm,Tiền mặt,Chi tiêu
19/04/2026,Mua đồ dùng nhà bếp,428299,Mua sắm,Tiền mặt,Chi tiêu
19/04/2026,Trà sữa,85633,Ăn uống,Tiền mặt,Chi tiêu
19/04/2026,Cà phê sữa,77447,Ăn uống,Tiền mặt,Chi tiêu
19/04/2026,Cà phê sáng,38437,Ăn uống,Tiền mặt,Chi tiêu
18/04/2026,Cháo sườn,42402,Ăn uống,Tiền mặt,Chi tiêu
18/04/2026,Đổ xăng xe,73562,Di chuyển,Tiền mặt,Chi tiêu
18/04/2026,Cơm tấm,51934,Ăn uống,Tiền mặt,Chi tiêu
17/04/2026,Bún riêu,46790,Ăn uống,Tiền mặt,Chi tiêu
17/04/2026,Cà phê sữa,70304,Ăn uống,Tiền mặt,Chi tiêu
17/04/2026,Bột chiên,39319,Ăn uống,Tiền mặt,Chi tiêu
16/04/2026,Cơm gà,73996,Ăn uống,Tiền mặt,Chi tiêu
16/04/2026,Gửi xe máy,66224,Di chuyển,Tiền mặt,Chi tiêu
16/04/2026,Cơm văn phòng,91733,Ăn uống,Tiền mặt,Chi tiêu
15/04/2026,Bún riêu,42990,Ăn uống,Tiền mặt,Chi tiêu
15/04/2026,Cơm tấm,39811,Ăn uống,Tiền mặt,Chi tiêu
15/04/2026,Đổ xăng xe,34555,Di chuyển,Tiền mặt,Chi tiêu
14/04/2026,Cơm gà,102175,Ăn uống,Tiền mặt,Chi tiêu
14/04/2026,Xôi sáng,23146,Ăn uống,Tiền mặt,Chi tiêu
14/04/2026,Bột chiên,77297,Ăn uống,Tiền mặt,Chi tiêu
13/04/2026,Bún bò Huế,61309,Ăn uống,Tiền mặt,Chi tiêu
13/04/2026,Cháo sườn,44700,Ăn uống,Tiền mặt,Chi tiêu
13/04/2026,Đổ xăng xe,58951,Di chuyển,Tiền mặt,Chi tiêu
12/04/2026,Xôi sáng,20290,Ăn uống,Tiền mặt,Chi tiêu
12/04/2026,Cháo sườn,102035,Ăn uống,Tiền mặt,Chi tiêu
12/04/2026,Phở bò,65619,Ăn uống,Tiền mặt,Chi tiêu
11/04/2026,Thực phẩm sạch,378908,Tạp hóa,Tiền mặt,Chi tiêu
11/04/2026,Xôi sáng,37514,Ăn uống,Tiền mặt,Chi tiêu
11/04/2026,Bột chiên,71184,Ăn uống,Tiền mặt,Chi tiêu
10/04/2026,Vé xe buýt,44428,Di chuyển,Tiền mặt,Chi tiêu
10/04/2026,Cơm tấm,90770,Ăn uống,Tiền mặt,Chi tiêu
10/04/2026,Mua sách,269706,Mua sắm,Tiền mặt,Chi tiêu
10/04/2026,Hủ tiếu,62216,Ăn uống,Tiền mặt,Chi tiêu
09/04/2026,Trà sữa,36592,Ăn uống,Tiền mặt,Chi tiêu
09/04/2026,Đổ xăng xe máy,212371,Di chuyển,Tiền mặt,Chi tiêu
09/04/2026,Cà phê sáng,45074,Ăn uống,Tiền mặt,Chi tiêu
09/04/2026,Cơm gà,77974,Ăn uống,Tiền mặt,Chi tiêu
08/04/2026,Cơm gà,97787,Ăn uống,Tiền mặt,Chi tiêu
08/04/2026,Grab xe máy,67257,Di chuyển,Tiền mặt,Chi tiêu
08/04/2026,Cơm tấm,35798,Ăn uống,Tiền mặt,Chi tiêu
08/04/2026,Cà phê sáng,39877,Ăn uống,Tiền mặt,Chi tiêu
07/04/2026,Cơm tấm,43609,Ăn uống,Tiền mặt,Chi tiêu
07/04/2026,Cà phê sữa,61130,Ăn uống,Tiền mặt,Chi tiêu
06/04/2026,Xôi sáng,48041,Ăn uống,Tiền mặt,Chi tiêu
06/04/2026,Bột chiên,64404,Ăn uống,Tiền mặt,Chi tiêu
06/04/2026,WinMart,256916,Tạp hóa,Tiền mặt,Chi tiêu
06/04/2026,Taxi Vinasun,69301,Di chuyển,Tiền mặt,Chi tiêu
05/04/2026,Cơm gà,108783,Ăn uống,Tiền mặt,Chi tiêu
05/04/2026,Nhận lương tháng 4,16271913,Lương,Tiền mặt,Thu nhập
05/04/2026,Cơm văn phòng,60239,Ăn uống,Tiền mặt,Chi tiêu
04/04/2026,Gửi xe máy,60797,Di chuyển,Tiền mặt,Chi tiêu
04/04/2026,Cơm văn phòng,73781,Ăn uống,Tiền mặt,Chi tiêu
04/04/2026,Tiền nước sinh hoạt,138002,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
03/04/2026,Tiền nước sinh hoạt,213940,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
03/04/2026,Phở bò,68756,Ăn uống,Tiền mặt,Chi tiêu
02/04/2026,Điện thoại di động,179442,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
02/04/2026,Vé xe buýt,21404,Di chuyển,Tiền mặt,Chi tiêu
02/04/2026,Cháo sườn,61950,Ăn uống,Tiền mặt,Chi tiêu
02/04/2026,Bún chả,81100,Ăn uống,Tiền mặt,Chi tiêu
01/04/2026,Cà phê cùng bạn,486139,Giải trí,Tiền mặt,Chi tiêu
01/04/2026,Hủ tiếu,84917,Ăn uống,Tiền mặt,Chi tiêu
01/04/2026,Grab ô tô,48022,Di chuyển,Tiền mặt,Chi tiêu
01/04/2026,Tiền nhà tháng 4,2440826,Nhà cửa,Tiền mặt,Chi tiêu
01/04/2026,Internet cáp quang,179482,Hóa đơn & Dịch vụ,Tiền mặt,Chi tiêu
